Dose,Red,Green,Blue,Red_corr,Green_Corr,Red Norm,Green Norm,Blue Norm
0,45453.5487179487,44250.641025641,34977.7025641026,0.58275021584689,0.62546747771146,0.158905507990357,0.170553737389435,0.272682023393892
40,43696.6904761905,43121.7294372294,34401.3333333333,0.628888882811559,0.649440564087923,0.176024758381936,0.181777133451506,0.279898028400481
80,42322.4624,42511.712,34340.656,0.676616491740265,0.669712641840589,0.189902375937988,0.187964708862071,0.280664716654419
120,40856.5627705628,41497.2034632035,33854.7922077922,0.715388608789802,0.691832991039293,0.205211476773976,0.198454473593449,0.28685315121403
150,40091.3333333333,41141.9180952381,33899.5161904762,0.745504226994897,0.70626277467227,0.213422803771149,0.202188768502823,0.286279803712782
200,38543.2522045855,40103.049382716,33455.4391534392,0.78945123725542,0.730449002002577,0.230524946976811,0.213295906712764,0.292006568737856
250,37341.4438095238,39521.1257142857,33440.0647619048,0.835992538438084,0.751674679937744,0.24428219780118,0.219643997289445,0.292206193918407
300,35935.373433584,38400.9248120301,32828.7418546366,0.869202432507106,0.773207458537787,0.260951141443161,0.232131620128837,0.300219064839108
350,35031.3858064516,37907.8335483871,32784.2322580645,0.904283553838778,0.790351695318452,0.272015985854051,0.237744338776064,0.300808285962202
400,33837.8973214286,36929.8005952381,32362.7008928571,0.936825046968476,0.81290188414346,0.287069935511521,0.249096341108085,0.306428544412286
450,33150.6912442396,36563.017281106,32395.9631336406,0.967312851200868,0.828254401795547,0.295980715204577,0.25343127604523,0.305982407694814
500,32015.13,35680.1016666667,32016.495,1.0000595186534,0.848754836955577,0.311118034113949,0.264047220583322,0.311099517889571
600,30375.3376,34351.2944,31505.9488,1.04989754914784,0.88194650370504,0.333952190261686,0.280530197298764,0.318080740861563
700,28823.1517323775,33235.6296296296,31120.5471923536,1.10297795614909,0.91170567897778,0.356731835783424,0.294869393121356,0.323426079183765
800,27514.9168,32249.5728,30863.3088,1.15250636099722,0.941652343613294,0.376905099841971,0.307949337718971,0.327030819609403
900,26320.1940740741,31151.1659259259,30313.9940740741,1.18323939918008,0.964665234101978,0.396184216506132,0.322998997690771,0.33483014238764
1000,25030.7703703704,30013.3274074074,29741.8666666667,1.21828299938324,0.98849937313384,0.417999087698683,0.339159157904892,0.343105081422213
1100,24182.6890909091,29203.9527272727,29455.5381818182,1.24664787118111,1.0107263384372,0.432968711441966,0.351031666992706,0.347306341630985
1200,23086.9153439153,28349.3134920635,29129.7632275132,1.28673848750879,1.03349386728284,0.45310739330835,0.363930757298883,0.352136349154828
1400,21404.0420875421,26630.8754208754,28266.9932659933,1.33073906541341,1.0709053121501,0.485977507493246,0.391087860788322,0.365193688322564
1600,19880.7653508772,25123.3311403509,27593.4013157895,1.37898387061778,1.10841489687975,0.518040204324447,0.416396081122114,0.3756680664382
1800,18737.2640692641,23805.880952381,26910.2922077922,1.40670093732968,1.13771435185066,0.543767126304474,0.4397890463026,0.386554890150781
2000,17546.9214814815,22750.0414814815,26496.237037037,1.4550933806101,1.16832911693953,0.572272371047833,0.459491110896862,0.393289103416777
2200,16669.2341696535,21621.192353644,25829.2520908005,1.47036178310104,1.19099789582566,0.594557656158817,0.481593663253915,0.404361472796768
